Method	ID	Branch	Number of mutations	FP	FN	TP
PhyloSigFinder.QP	m7_S81_k1_eps0.1	6	194	4	1	4
PhyloSigFinder.QP	m7_S81_k1_eps0.1	1	63	3	1	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	3	187	6	0	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	2	176	4	0	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	5	95	4	0	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	4	161	3	0	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	7	116	4	1	3
PhyloSigFinder.QP	m7_S81_k1_eps0.1	6	194	5	0	3
QP	m7_S10_k1_eps0.2	1	157	0	6	7
QP	m7_S10_k1_eps0.2	3	22	4	8	3
QP	m7_S10_k1_eps0.2	2	135	0	3	10
QP	m7_S10_k1_eps0.2	5	112	0	7	4
QP	m7_S10_k1_eps0.2	4	31	2	6	5
QP	m7_S10_k1_eps0.2	7	150	0	5	8
QP	m7_S10_k1_eps0.2	6	49	1	6	7
QP	m7_S10_k1_eps0.2	1	157	0	2	7
QP	m7_S10_k1_eps0.2	3	22	4	3	3
QP	m7_S10_k1_eps0.2	2	135	1	0	9
QP	m7_S10_k1_eps0.2	5	112	0	2	4
QP	m7_S10_k1_eps0.2	4	31	3	2	4
QP	m7_S10_k1_eps0.2	7	150	0	1	8
QP	m7_S10_k1_eps0.2	6	49	2	3	6
QP	m7_S10_k1_eps0.2	1	157	4	1	3
QP	m7_S10_k1_eps0.2	3	22	5	1	2
QP	m7_S10_k1_eps0.2	2	135	6	0	4
QP	m7_S10_k1_eps0.2	5	112	1	0	3
QP	m7_S10_k1_eps0.2	4	31	5	1	2
QP	m7_S10_k1_eps0.2	7	150	4	0	4
QP	m7_S10_k1_eps0.2	6	49	5	1	3
PhyloSigFinder.QP	m7_S10_k1_eps0.2	1	157	0	2	11
PhyloSigFinder.QP	m7_S10_k1_eps0.2	3	22	2	8	3
PhyloSigFinder.QP	m7_S10_k1_eps0.2	2	135	0	3	10
PhyloSigFinder.QP	m7_S10_k1_eps0.2	5	112	0	6	5
PhyloSigFinder.QP	m7_S10_k1_eps0.2	4	31	1	7	4
PhyloSigFinder.QP	m7_S10_k1_eps0.2	7	150	0	3	10
PhyloSigFinder.QP	m7_S10_k1_eps0.2	6	49	0	2	11
PhyloSigFinder.QP	m7_S10_k1_eps0.2	1	157	2	0	9
PhyloSigFinder.QP	m7_S10_k1_eps0.2	3	22	2	3	3
PhyloSigFinder.QP	m7_S10_k1_eps0.2	2	135	2	1	8
PhyloSigFinder.QP	m7_S10_k1_eps0.2	5	112	0	1	5
PhyloSigFinder.QP	m7_S10_k1_eps0.2	4	31	2	3	3
PhyloSigFinder.QP	m7_S10_k1_eps0.2	7	150	2	1	8
PhyloSigFinder.QP	m7_S10_k1_eps0.2	6	49	2	0	9
PhyloSigFinder.QP	m7_S10_k1_eps0.2	1	157	7	0	4
PhyloSigFinder.QP	m7_S10_k1_eps0.2	3	22	3	1	2
PhyloSigFinder.QP	m7_S10_k1_eps0.2	2	135	6	0	4
PhyloSigFinder.QP	m7_S10_k1_eps0.2	5	112	2	0	3
PhyloSigFinder.QP	m7_S10_k1_eps0.2	4	31	3	1	2
PhyloSigFinder.QP	m7_S10_k1_eps0.2	7	150	6	0	4
PhyloSigFinder.QP	m7_S10_k1_eps0.2	6	49	7	0	4
QP	m7_S12_k1_eps0.2	1	77	1	2	7
QP	m7_S12_k1_eps0.2	3	130	1	6	6
QP	m7_S12_k1_eps0.2	2	157	0	2	7
QP	m7_S12_k1_eps0.2	5	157	0	4	5
QP	m7_S12_k1_eps0.2	4	186	0	8	4
QP	m7_S12_k1_eps0.2	7	66	0	5	4
QP	m7_S12_k1_eps0.2	6	16	0	4	5
QP	m7_S12_k1_eps0.2	1	77	2	1	6
QP	m7_S12_k1_eps0.2	3	130	2	0	5
QP	m7_S12_k1_eps0.2	2	157	0	0	7
QP	m7_S12_k1_eps0.2	5	157	0	2	5
QP	m7_S12_k1_eps0.2	4	186	0	1	4
QP	m7_S12_k1_eps0.2	7	66	0	3	4
QP	m7_S12_k1_eps0.2	6	16	1	3	4
QP	m7_S12_k1_eps0.2	1	77	4	0	4
QP	m7_S12_k1_eps0.2	3	130	3	0	4
QP	m7_S12_k1_eps0.2	2	157	3	0	4
QP	m7_S12_k1_eps0.2	5	157	1	0	4
QP	m7_S12_k1_eps0.2	4	186	0	0	4
QP	m7_S12_k1_eps0.2	7	66	0	0	4
QP	m7_S12_k1_eps0.2	6	16	1	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	1	77	0	1	8
PhyloSigFinder.QP	m7_S12_k1_eps0.2	3	130	0	5	7
PhyloSigFinder.QP	m7_S12_k1_eps0.2	2	157	0	1	8
PhyloSigFinder.QP	m7_S12_k1_eps0.2	5	157	0	1	8
PhyloSigFinder.QP	m7_S12_k1_eps0.2	4	186	0	5	7
PhyloSigFinder.QP	m7_S12_k1_eps0.2	7	66	0	5	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	6	16	NA	NA	NA
PhyloSigFinder.QP	m7_S12_k1_eps0.2	1	77	1	0	7
PhyloSigFinder.QP	m7_S12_k1_eps0.2	3	130	2	0	5
PhyloSigFinder.QP	m7_S12_k1_eps0.2	2	157	1	0	7
PhyloSigFinder.QP	m7_S12_k1_eps0.2	5	157	2	1	6
PhyloSigFinder.QP	m7_S12_k1_eps0.2	4	186	2	0	5
PhyloSigFinder.QP	m7_S12_k1_eps0.2	7	66	0	3	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	6	16	NA	NA	NA
PhyloSigFinder.QP	m7_S12_k1_eps0.2	1	77	4	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	3	130	3	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	2	157	4	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	5	157	4	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	4	186	3	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	7	66	0	0	4
PhyloSigFinder.QP	m7_S12_k1_eps0.2	6	16	NA	NA	NA
QP	m7_S23_k1_eps0.2	1	200	0	9	7
QP	m7_S23_k1_eps0.2	3	44	1	10	6
QP	m7_S23_k1_eps0.2	2	108	2	9	7
QP	m7_S23_k1_eps0.2	5	44	2	6	7
QP	m7_S23_k1_eps0.2	4	56	2	10	6
QP	m7_S23_k1_eps0.2	7	38	0	8	5
QP	m7_S23_k1_eps0.2	6	176	0	4	9
QP	m7_S23_k1_eps0.2	1	200	1	1	6
QP	m7_S23_k1_eps0.2	3	44	3	3	4
QP	m7_S23_k1_eps0.2	2	108	4	2	5
QP	m7_S23_k1_eps0.2	5	44	4	2	5
QP	m7_S23_k1_eps0.2	4	56	4	3	4
QP	m7_S23_k1_eps0.2	7	38	1	3	4
QP	m7_S23_k1_eps0.2	6	176	2	0	7
QP	m7_S23_k1_eps0.2	1	200	5	0	2
QP	m7_S23_k1_eps0.2	3	44	6	1	1
QP	m7_S23_k1_eps0.2	2	108	7	0	2
QP	m7_S23_k1_eps0.2	5	44	6	1	3
QP	m7_S23_k1_eps0.2	4	56	7	1	1
QP	m7_S23_k1_eps0.2	7	38	2	1	3
QP	m7_S23_k1_eps0.2	6	176	5	0	4
PhyloSigFinder.QP	m7_S23_k1_eps0.2	1	200	0	7	9
PhyloSigFinder.QP	m7_S23_k1_eps0.2	3	44	1	12	4
PhyloSigFinder.QP	m7_S23_k1_eps0.2	2	108	0	8	8
PhyloSigFinder.QP	m7_S23_k1_eps0.2	5	44	0	5	8
PhyloSigFinder.QP	m7_S23_k1_eps0.2	4	56	0	9	7
PhyloSigFinder.QP	m7_S23_k1_eps0.2	7	38	0	8	5
PhyloSigFinder.QP	m7_S23_k1_eps0.2	6	176	1	3	10
PhyloSigFinder.QP	m7_S23_k1_eps0.2	1	200	2	0	7
PhyloSigFinder.QP	m7_S23_k1_eps0.2	3	44	1	3	4
PhyloSigFinder.QP	m7_S23_k1_eps0.2	2	108	2	1	6
PhyloSigFinder.QP	m7_S23_k1_eps0.2	5	44	2	1	6
PhyloSigFinder.QP	m7_S23_k1_eps0.2	4	56	2	2	5
PhyloSigFinder.QP	m7_S23_k1_eps0.2	7	38	1	3	4
PhyloSigFinder.QP	m7_S23_k1_eps0.2	6	176	4	0	7
PhyloSigFinder.QP	m7_S23_k1_eps0.2	1	200	7	0	2
PhyloSigFinder.QP	m7_S23_k1_eps0.2	3	44	4	1	1
PhyloSigFinder.QP	m7_S23_k1_eps0.2	2	108	6	0	2
PhyloSigFinder.QP	m7_S23_k1_eps0.2	5	44	4	0	4
PhyloSigFinder.QP	m7_S23_k1_eps0.2	4	56	6	1	1
PhyloSigFinder.QP	m7_S23_k1_eps0.2	7	38	2	1	3
PhyloSigFinder.QP	m7_S23_k1_eps0.2	6	176	7	0	4
QP	m7_S30_k1_eps0.2	1	100	1	6	5
QP	m7_S30_k1_eps0.2	3	102	0	4	6
QP	m7_S30_k1_eps0.2	2	188	0	7	4
QP	m7_S30_k1_eps0.2	5	75	1	7	4
QP	m7_S30_k1_eps0.2	4	68	1	8	3
QP	m7_S30_k1_eps0.2	7	132	0	7	4
QP	m7_S30_k1_eps0.2	6	166	0	6	5
QP	m7_S30_k1_eps0.2	1	100	4	2	2
QP	m7_S30_k1_eps0.2	3	102	0	0	6
QP	m7_S30_k1_eps0.2	2	188	2	2	2
QP	m7_S30_k1_eps0.2	5	75	3	2	2
QP	m7_S30_k1_eps0.2	4	68	2	2	2
QP	m7_S30_k1_eps0.2	7	132	2	2	2
QP	m7_S30_k1_eps0.2	6	166	1	0	4
QP	m7_S30_k1_eps0.2	1	100	4	1	2
QP	m7_S30_k1_eps0.2	3	102	3	0	3
QP	m7_S30_k1_eps0.2	2	188	2	1	2
QP	m7_S30_k1_eps0.2	5	75	3	1	2
QP	m7_S30_k1_eps0.2	4	68	2	1	2
QP	m7_S30_k1_eps0.2	7	132	2	1	2
QP	m7_S30_k1_eps0.2	6	166	2	0	3
PhyloSigFinder.QP	m7_S30_k1_eps0.2	1	100	0	6	5
PhyloSigFinder.QP	m7_S30_k1_eps0.2	3	102	1	7	3
PhyloSigFinder.QP	m7_S30_k1_eps0.2	2	188	1	6	5
PhyloSigFinder.QP	m7_S30_k1_eps0.2	5	75	1	7	4
PhyloSigFinder.QP	m7_S30_k1_eps0.2	4	68	0	8	3
PhyloSigFinder.QP	m7_S30_k1_eps0.2	7	132	0	6	5
PhyloSigFinder.QP	m7_S30_k1_eps0.2	6	166	1	5	6
PhyloSigFinder.QP	m7_S30_k1_eps0.2	1	100	3	2	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	3	102	1	3	3
PhyloSigFinder.QP	m7_S30_k1_eps0.2	2	188	4	2	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	5	75	3	2	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	4	68	1	2	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	7	132	3	2	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	6	166	4	1	3
PhyloSigFinder.QP	m7_S30_k1_eps0.2	1	100	3	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	3	102	2	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	2	188	4	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	5	75	3	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	4	68	1	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	7	132	3	1	2
PhyloSigFinder.QP	m7_S30_k1_eps0.2	6	166	5	1	2
QP	m7_S43_k1_eps0.2	1	13	2	10	5
QP	m7_S43_k1_eps0.2	3	41	1	9	6
QP	m7_S43_k1_eps0.2	2	159	0	9	6
QP	m7_S43_k1_eps0.2	5	100	0	9	6
QP	m7_S43_k1_eps0.2	4	100	1	10	5
QP	m7_S43_k1_eps0.2	7	166	1	7	7
QP	m7_S43_k1_eps0.2	6	94	1	11	4
QP	m7_S43_k1_eps0.2	1	13	4	3	3
QP	m7_S43_k1_eps0.2	3	41	4	3	3
QP	m7_S43_k1_eps0.2	2	159	1	1	5
QP	m7_S43_k1_eps0.2	5	100	1	1	5
QP	m7_S43_k1_eps0.2	4	100	2	2	4
QP	m7_S43_k1_eps0.2	7	166	3	2	5
QP	m7_S43_k1_eps0.2	6	94	2	3	3
QP	m7_S43_k1_eps0.2	1	13	5	2	2
QP	m7_S43_k1_eps0.2	3	41	5	2	2
QP	m7_S43_k1_eps0.2	2	159	2	0	4
QP	m7_S43_k1_eps0.2	5	100	3	1	3
QP	m7_S43_k1_eps0.2	4	100	3	1	3
QP	m7_S43_k1_eps0.2	7	166	4	0	4
QP	m7_S43_k1_eps0.2	6	94	3	2	2
PhyloSigFinder.QP	m7_S43_k1_eps0.2	1	13	NA	NA	NA
PhyloSigFinder.QP	m7_S43_k1_eps0.2	3	41	1	8	7
PhyloSigFinder.QP	m7_S43_k1_eps0.2	2	159	0	4	11
PhyloSigFinder.QP	m7_S43_k1_eps0.2	5	100	1	6	9
PhyloSigFinder.QP	m7_S43_k1_eps0.2	4	100	0	5	10
PhyloSigFinder.QP	m7_S43_k1_eps0.2	7	166	0	6	8
PhyloSigFinder.QP	m7_S43_k1_eps0.2	6	94	1	7	8
PhyloSigFinder.QP	m7_S43_k1_eps0.2	1	13	NA	NA	NA
PhyloSigFinder.QP	m7_S43_k1_eps0.2	3	41	5	3	3
PhyloSigFinder.QP	m7_S43_k1_eps0.2	2	159	5	0	6
PhyloSigFinder.QP	m7_S43_k1_eps0.2	5	100	6	2	4
PhyloSigFinder.QP	m7_S43_k1_eps0.2	4	100	4	0	6
PhyloSigFinder.QP	m7_S43_k1_eps0.2	7	166	3	2	5
PhyloSigFinder.QP	m7_S43_k1_eps0.2	6	94	5	2	4
PhyloSigFinder.QP	m7_S43_k1_eps0.2	1	13	NA	NA	NA
PhyloSigFinder.QP	m7_S43_k1_eps0.2	3	41	6	2	2
PhyloSigFinder.QP	m7_S43_k1_eps0.2	2	159	7	0	4
PhyloSigFinder.QP	m7_S43_k1_eps0.2	5	100	8	2	2
PhyloSigFinder.QP	m7_S43_k1_eps0.2	4	100	6	0	4
PhyloSigFinder.QP	m7_S43_k1_eps0.2	7	166	4	0	4
PhyloSigFinder.QP	m7_S43_k1_eps0.2	6	94	7	2	2
QP	m7_S49_k1_eps0.2	1	92	1	6	6
QP	m7_S49_k1_eps0.2	3	186	1	5	7
QP	m7_S49_k1_eps0.2	2	15	1	7	5
QP	m7_S49_k1_eps0.2	5	190	0	5	7
QP	m7_S49_k1_eps0.2	4	132	0	3	9
QP	m7_S49_k1_eps0.2	7	31	0	7	4
QP	m7_S49_k1_eps0.2	6	60	0	6	6
QP	m7_S49_k1_eps0.2	1	92	1	2	6
QP	m7_S49_k1_eps0.2	3	186	1	1	7
QP	m7_S49_k1_eps0.2	2	15	2	4	4
QP	m7_S49_k1_eps0.2	5	190	0	1	7
QP	m7_S49_k1_eps0.2	4	132	1	0	8
QP	m7_S49_k1_eps0.2	7	31	1	3	3
QP	m7_S49_k1_eps0.2	6	60	0	2	6
QP	m7_S49_k1_eps0.2	1	92	3	1	4
QP	m7_S49_k1_eps0.2	3	186	3	0	5
QP	m7_S49_k1_eps0.2	2	15	4	3	2
QP	m7_S49_k1_eps0.2	5	190	2	0	5
QP	m7_S49_k1_eps0.2	4	132	4	0	5
QP	m7_S49_k1_eps0.2	7	31	2	3	2
QP	m7_S49_k1_eps0.2	6	60	2	1	4
PhyloSigFinder.QP	m7_S49_k1_eps0.2	1	92	2	7	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	3	186	3	5	7
PhyloSigFinder.QP	m7_S49_k1_eps0.2	2	15	NA	NA	NA
PhyloSigFinder.QP	m7_S49_k1_eps0.2	5	190	0	5	7
PhyloSigFinder.QP	m7_S49_k1_eps0.2	4	132	0	5	7
PhyloSigFinder.QP	m7_S49_k1_eps0.2	7	31	1	6	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	6	60	0	7	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	1	92	2	3	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	3	186	4	2	6
PhyloSigFinder.QP	m7_S49_k1_eps0.2	2	15	NA	NA	NA
PhyloSigFinder.QP	m7_S49_k1_eps0.2	5	190	0	1	7
PhyloSigFinder.QP	m7_S49_k1_eps0.2	4	132	1	2	6
PhyloSigFinder.QP	m7_S49_k1_eps0.2	7	31	3	3	3
PhyloSigFinder.QP	m7_S49_k1_eps0.2	6	60	0	3	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	1	92	4	2	3
PhyloSigFinder.QP	m7_S49_k1_eps0.2	3	186	6	1	4
PhyloSigFinder.QP	m7_S49_k1_eps0.2	2	15	NA	NA	NA
PhyloSigFinder.QP	m7_S49_k1_eps0.2	5	190	2	0	5
PhyloSigFinder.QP	m7_S49_k1_eps0.2	4	132	3	1	4
PhyloSigFinder.QP	m7_S49_k1_eps0.2	7	31	4	3	2
PhyloSigFinder.QP	m7_S49_k1_eps0.2	6	60	2	2	3
QP	m7_S61_k1_eps0.2	1	157	0	7	6
QP	m7_S61_k1_eps0.2	3	25	0	7	6
QP	m7_S61_k1_eps0.2	2	111	0	6	7
QP	m7_S61_k1_eps0.2	5	179	0	7	6
QP	m7_S61_k1_eps0.2	4	154	0	7	6
QP	m7_S61_k1_eps0.2	7	169	0	6	7
QP	m7_S61_k1_eps0.2	6	103	2	7	6
QP	m7_S61_k1_eps0.2	1	157	1	1	5
QP	m7_S61_k1_eps0.2	3	25	2	2	4
QP	m7_S61_k1_eps0.2	2	111	1	0	6
QP	m7_S61_k1_eps0.2	5	179	1	1	5
QP	m7_S61_k1_eps0.2	4	154	0	1	6
QP	m7_S61_k1_eps0.2	7	169	1	0	6
QP	m7_S61_k1_eps0.2	6	103	3	1	5
QP	m7_S61_k1_eps0.2	1	157	2	0	4
QP	m7_S61_k1_eps0.2	3	25	3	1	3
QP	m7_S61_k1_eps0.2	2	111	3	0	4
QP	m7_S61_k1_eps0.2	5	179	2	0	4
QP	m7_S61_k1_eps0.2	4	154	4	0	2
QP	m7_S61_k1_eps0.2	7	169	3	0	4
QP	m7_S61_k1_eps0.2	6	103	4	0	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	1	157	0	7	6
PhyloSigFinder.QP	m7_S61_k1_eps0.2	3	25	0	7	6
PhyloSigFinder.QP	m7_S61_k1_eps0.2	2	111	0	6	7
PhyloSigFinder.QP	m7_S61_k1_eps0.2	5	179	0	5	8
PhyloSigFinder.QP	m7_S61_k1_eps0.2	4	154	0	6	7
PhyloSigFinder.QP	m7_S61_k1_eps0.2	7	169	0	5	8
PhyloSigFinder.QP	m7_S61_k1_eps0.2	6	103	0	6	7
PhyloSigFinder.QP	m7_S61_k1_eps0.2	1	157	1	1	5
PhyloSigFinder.QP	m7_S61_k1_eps0.2	3	25	2	2	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	2	111	2	1	5
PhyloSigFinder.QP	m7_S61_k1_eps0.2	5	179	3	1	5
PhyloSigFinder.QP	m7_S61_k1_eps0.2	4	154	1	1	6
PhyloSigFinder.QP	m7_S61_k1_eps0.2	7	169	2	0	6
PhyloSigFinder.QP	m7_S61_k1_eps0.2	6	103	2	1	5
PhyloSigFinder.QP	m7_S61_k1_eps0.2	1	157	2	0	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	3	25	3	1	3
PhyloSigFinder.QP	m7_S61_k1_eps0.2	2	111	3	0	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	5	179	4	0	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	4	154	5	0	2
PhyloSigFinder.QP	m7_S61_k1_eps0.2	7	169	4	0	4
PhyloSigFinder.QP	m7_S61_k1_eps0.2	6	103	3	0	4
QP	m7_S66_k1_eps0.2	1	20	2	8	4
QP	m7_S66_k1_eps0.2	3	51	2	7	5
QP	m7_S66_k1_eps0.2	2	180	0	6	6
QP	m7_S66_k1_eps0.2	5	125	0	9	8
QP	m7_S66_k1_eps0.2	4	175	0	8	9
QP	m7_S66_k1_eps0.2	7	183	0	6	6
QP	m7_S66_k1_eps0.2	6	78	1	6	6
QP	m7_S66_k1_eps0.2	1	20	3	3	3
QP	m7_S66_k1_eps0.2	3	51	4	3	3
QP	m7_S66_k1_eps0.2	2	180	1	1	5
QP	m7_S66_k1_eps0.2	5	125	1	1	7
QP	m7_S66_k1_eps0.2	4	175	1	0	8
QP	m7_S66_k1_eps0.2	7	183	1	1	5
QP	m7_S66_k1_eps0.2	6	78	4	3	3
QP	m7_S66_k1_eps0.2	1	20	5	1	1
QP	m7_S66_k1_eps0.2	3	51	6	1	1
QP	m7_S66_k1_eps0.2	2	180	4	0	2
QP	m7_S66_k1_eps0.2	5	125	5	0	3
QP	m7_S66_k1_eps0.2	4	175	6	0	3
QP	m7_S66_k1_eps0.2	7	183	4	0	2
QP	m7_S66_k1_eps0.2	6	78	5	0	2
PhyloSigFinder.QP	m7_S66_k1_eps0.2	1	20	0	7	5
PhyloSigFinder.QP	m7_S66_k1_eps0.2	3	51	0	3	9
PhyloSigFinder.QP	m7_S66_k1_eps0.2	2	180	0	4	8
PhyloSigFinder.QP	m7_S66_k1_eps0.2	5	125	0	7	10
PhyloSigFinder.QP	m7_S66_k1_eps0.2	4	175	2	6	11
PhyloSigFinder.QP	m7_S66_k1_eps0.2	7	183	1	4	8
PhyloSigFinder.QP	m7_S66_k1_eps0.2	6	78	0	5	7
PhyloSigFinder.QP	m7_S66_k1_eps0.2	1	20	2	3	3
PhyloSigFinder.QP	m7_S66_k1_eps0.2	3	51	5	2	4
PhyloSigFinder.QP	m7_S66_k1_eps0.2	2	180	3	1	5
PhyloSigFinder.QP	m7_S66_k1_eps0.2	5	125	2	0	8
PhyloSigFinder.QP	m7_S66_k1_eps0.2	4	175	5	0	8
PhyloSigFinder.QP	m7_S66_k1_eps0.2	7	183	5	2	4
PhyloSigFinder.QP	m7_S66_k1_eps0.2	6	78	4	3	3
PhyloSigFinder.QP	m7_S66_k1_eps0.2	1	20	4	1	1
PhyloSigFinder.QP	m7_S66_k1_eps0.2	3	51	7	0	2
PhyloSigFinder.QP	m7_S66_k1_eps0.2	2	180	6	0	2
PhyloSigFinder.QP	m7_S66_k1_eps0.2	5	125	7	0	3
PhyloSigFinder.QP	m7_S66_k1_eps0.2	4	175	10	0	3
PhyloSigFinder.QP	m7_S66_k1_eps0.2	7	183	7	0	2
PhyloSigFinder.QP	m7_S66_k1_eps0.2	6	78	5	0	2
QP	m7_S7_k1_eps0.2	1	181	0	7	8
QP	m7_S7_k1_eps0.2	3	82	0	10	5
QP	m7_S7_k1_eps0.2	2	180	0	7	8
QP	m7_S7_k1_eps0.2	5	54	0	7	6
QP	m7_S7_k1_eps0.2	4	153	1	8	5
QP	m7_S7_k1_eps0.2	7	90	1	8	5
QP	m7_S7_k1_eps0.2	6	119	0	8	5
QP	m7_S7_k1_eps0.2	1	181	1	1	7
QP	m7_S7_k1_eps0.2	3	82	0	3	5
QP	m7_S7_k1_eps0.2	2	180	1	1	7
QP	m7_S7_k1_eps0.2	5	54	2	2	4
QP	m7_S7_k1_eps0.2	4	153	1	1	5
QP	m7_S7_k1_eps0.2	7	90	2	2	4
QP	m7_S7_k1_eps0.2	6	119	0	1	5
QP	m7_S7_k1_eps0.2	1	181	6	0	2
QP	m7_S7_k1_eps0.2	3	82	3	0	2
QP	m7_S7_k1_eps0.2	2	180	6	0	2
QP	m7_S7_k1_eps0.2	5	54	5	1	1
QP	m7_S7_k1_eps0.2	4	153	4	0	2
QP	m7_S7_k1_eps0.2	7	90	5	1	1
QP	m7_S7_k1_eps0.2	6	119	3	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	1	181	1	7	8
PhyloSigFinder.QP	m7_S7_k1_eps0.2	3	82	1	8	7
PhyloSigFinder.QP	m7_S7_k1_eps0.2	2	180	0	6	9
PhyloSigFinder.QP	m7_S7_k1_eps0.2	5	54	0	7	6
PhyloSigFinder.QP	m7_S7_k1_eps0.2	4	153	0	6	7
PhyloSigFinder.QP	m7_S7_k1_eps0.2	7	90	0	4	9
PhyloSigFinder.QP	m7_S7_k1_eps0.2	6	119	0	5	8
PhyloSigFinder.QP	m7_S7_k1_eps0.2	1	181	3	2	6
PhyloSigFinder.QP	m7_S7_k1_eps0.2	3	82	2	2	6
PhyloSigFinder.QP	m7_S7_k1_eps0.2	2	180	2	1	7
PhyloSigFinder.QP	m7_S7_k1_eps0.2	5	54	1	1	5
PhyloSigFinder.QP	m7_S7_k1_eps0.2	4	153	2	1	5
PhyloSigFinder.QP	m7_S7_k1_eps0.2	7	90	3	0	6
PhyloSigFinder.QP	m7_S7_k1_eps0.2	6	119	2	0	6
PhyloSigFinder.QP	m7_S7_k1_eps0.2	1	181	7	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	3	82	6	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	2	180	7	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	5	54	5	1	1
PhyloSigFinder.QP	m7_S7_k1_eps0.2	4	153	5	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	7	90	7	0	2
PhyloSigFinder.QP	m7_S7_k1_eps0.2	6	119	6	0	2
QP	m7_S81_k1_eps0.2	1	178	2	9	6
QP	m7_S81_k1_eps0.2	3	176	0	8	5
QP	m7_S81_k1_eps0.2	2	162	0	8	7
QP	m7_S81_k1_eps0.2	5	36	3	10	5
QP	m7_S81_k1_eps0.2	4	52	1	11	4
QP	m7_S81_k1_eps0.2	7	164	0	9	6
QP	m7_S81_k1_eps0.2	6	39	4	11	4
QP	m7_S81_k1_eps0.2	1	178	4	1	4
QP	m7_S81_k1_eps0.2	3	176	0	0	5
QP	m7_S81_k1_eps0.2	2	162	2	0	5
QP	m7_S81_k1_eps0.2	5	36	4	1	4
QP	m7_S81_k1_eps0.2	4	52	2	2	3
QP	m7_S81_k1_eps0.2	7	164	1	0	5
QP	m7_S81_k1_eps0.2	6	39	6	3	2
QP	m7_S81_k1_eps0.2	1	178	5	0	3
QP	m7_S81_k1_eps0.2	3	176	1	0	4
QP	m7_S81_k1_eps0.2	2	162	4	0	3
QP	m7_S81_k1_eps0.2	5	36	6	1	2
QP	m7_S81_k1_eps0.2	4	52	3	1	2
QP	m7_S81_k1_eps0.2	7	164	3	0	3
QP	m7_S81_k1_eps0.2	6	39	7	2	1
PhyloSigFinder.QP	m7_S81_k1_eps0.2	1	178	0	8	7
PhyloSigFinder.QP	m7_S81_k1_eps0.2	3	176	0	6	7
PhyloSigFinder.QP	m7_S81_k1_eps0.2	2	162	0	7	8
PhyloSigFinder.QP	m7_S81_k1_eps0.2	5	36	1	9	6
PhyloSigFinder.QP	m7_S81_k1_eps0.2	4	52	1	10	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	7	164	0	9	6
PhyloSigFinder.QP	m7_S81_k1_eps0.2	6	39	2	10	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	1	178	3	1	4
PhyloSigFinder.QP	m7_S81_k1_eps0.2	3	176	2	0	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	2	162	3	0	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	5	36	2	0	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	4	52	3	2	3
PhyloSigFinder.QP	m7_S81_k1_eps0.2	7	164	1	0	5
PhyloSigFinder.QP	m7_S81_k1_eps0.2	6	39	4	2	3
PhyloSigFinder.QP	m7_S81_k1_eps0.2	1	178	4	0	3
